"Tm","WinP","Salary","Year","log.Salary"
"CAL",0.494,22417500,1990,16.9253524618083
"CHC",0.475,14599000,1990,16.4964635911821
"CHW",0.58,10721500,1990,16.1877616291914
"CIN",0.562,14470000,1990,16.4875880986077
"CLE",0.475,15208000,1990,16.5373321631504
"DET",0.488,18393238,1990,16.7274936550345
"HOU",0.463,18752500,1990,16.7468376348259
"KCR",0.466,24161084,1990,17.000253797574
"LAD",0.531,22018704,1990,16.9074028319409
"MIL",0.457,20149167,1990,16.8186735055521
"MIN",0.457,15272000,1990,16.5415316443877
"MON",0.525,17334888,1990,16.6682316761632
"NYM",0.562,21922834,1990,16.9030393000082
"NYY",0.414,21312318,1990,16.8747957733821
"OAK",0.636,20087501,1990,16.8156083388101
"PHI",0.475,13740167,1990,16.4358339989786
"PIT",0.586,15556000,1990,16.5599569742578
"SDP",0.463,17788334,1990,16.6940534071398
"SEA",0.475,12867667,1990,16.3702282888589
"SFG",0.525,21565333,1990,16.8865976296328
"STL",0.432,21048334,1990,16.8623319700674
"TEX",0.512,15597872,1990,16.5626450526586
"TOR",0.531,18259334,1990,16.7201869593005
"ATL",0.58,18403500,1991,16.7280514218815
"BAL",0.414,17519000,1991,16.678796564218
"BOS",0.518,35167500,1991,17.375632918614
"CAL",0.5,33060001,1991,17.3138346806052
"CHC",0.481,23380667,1991,16.9674200422582
"CHW",0.537,16919667,1991,16.6439872310976
"CIN",0.457,26305333,1991,17.0852822522572
"CLE",0.352,17635000,1991,16.6853961216523
"DET",0.518,23838333,1991,16.9868054732199
"HOU",0.401,12852500,1991,16.3690489029118
"KCR",0.506,26319834,1991,17.0858333574106
"LAD",0.574,32790664,1991,17.305654398692
"MIL",0.512,23115500,1991,16.9560139461461
"MIN",0.586,23361833,1991,16.9666141803116
"MON",0.441,10732333,1991,16.1887715187455
"NYM",0.478,32590001,1991,17.299516081498
"NYY",0.438,27344168,1991,17.1240138282625
"OAK",0.518,36999167,1991,17.4264059568416
"PHI",0.481,22487332,1991,16.9284626863959
"PIT",0.605,23634667,1991,16.9782251328358
"SDP",0.518,22150001,1991,16.9133480996021
"SEA",0.512,15691833,1991,16.5686509438894
"SFG",0.463,30967666,1991,17.2484541858547
"STL",0.518,21860001,1991,16.9001690864583
"TEX",0.525,18224500,1991,16.7182774006404
"TOR",0.562,19902417,1991,16.8063517396058
"ATL",0.605,34625333,1992,17.360096139754
"BAL",0.549,23891667,1992,16.9890402950175
"BOS",0.451,43610584,1992,17.5908104311533
"CAL",0.444,34749334,1992,17.3636709643238
"CHC",0.481,29829686,1992,17.2110146301197
"CHW",0.531,30160833,1992,17.222054720086
"CIN",0.556,33431499,1992,17.3250090973551
"CLE",0.469,9373044,1992,16.0533484680524
"DET",0.463,27322834,1992,17.1232333208155
"HOU",0.5,15407500,1992,16.5503649618185
"KCR",0.444,33893834,1992,17.3387436679015
"LAD",0.389,44788166,1992,17.6174545107053
"MIL",0.568,31013667,1992,17.2499385362621
"MIN",0.556,28027834,1992,17.1487086458062
"MON",0.537,15822334,1992,16.5769330441877
"NYM",0.444,44602002,1992,17.6132893038752
"NYY",0.469,37652334,1992,17.4439055023206
"OAK",0.593,41035000,1992,17.529935919046
"PHI",0.432,24492834,1992,17.0138911429356
"PIT",0.593,33944167,1992,17.3402275857202
